PayslipID,EmployeeNo,EmployeeName,Pay Date,Status,Action
P-0001,10001,Garcia,01/15/2026,DISTRIBUTED,Distributed by
P-0002,10002,Lim,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0003,10003,Aquino,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0004,10004,Reyes,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0005,10005,Hernandez,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0006,10006,Villanueva,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0007,10007,San Jose,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0008,10008,Romualdez,01/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0009,10009,Atienza,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0010,10010,Alvaro,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0011,10011,Salcedo,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0012,10012,Lopez,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0013,10013,Farala,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0014,10014,Martinez,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0015,10015,Romualdez,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0016,10016,Mata,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0017,10017,De Leon,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0018,10018,San Jose,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0019,10019,Rosario,03/30/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0020,10020,Bautista,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0021,10021,Lazaro,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0022,10022,Delos Santos,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0023,10023,Santos,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0024,10024,Del Rosario,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0025,10025,Tolentino,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0026,10026,Gutierrez,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0027,10027,Manalaysay,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0028,10028,Villegas,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0029,10029,Ramos,02/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0030,10030,Maceda,03/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0031,10031,Aguilar,03/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0032,10032,Castro,03/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0033,10033,Martinez,03/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0034,10034,Santos,03/15/2026,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0035,10001,"Garcia, Manuel III",3/16/2018,DISTRIBUTED,"Distributed by Garcia, Manuel III"
P-0036,10034,"Santos, Beatriz",3/16/2026,DISTRIBUTED,"Distributed by Lim, Antonio"
